,company,Job
125,Page Personnel,Controller Jr/Ssr/Sr
126,HuCap-Inteligencia en Capital Humano-,Gerente regional de Planificación Financiera
127,Bumeran Selecta,TAX - Estudiantes o Graduados de CPN - LAE - Economía
128,Claro Argentina,Analista de Oferta Pospaga
129,Grupo Metropol,Jefe de Riesgo Crediticio y Planeamiento
130,Despegar,Marketing Performance Analyst
131,Natura,FP&A Analista de Flujo de Caja- Natura
132,SANATORIO FINOCHIETTO,Analista Control de Gestión
133,GD hr value,ANALISTA BACK OFFICE ACyDI FCI para Importente AlyC
134,Santander Argentina,Risk Data Analyst Ssr
135,Navent,Tax Coordinator
136,Despegar,Data Scientist - Commercial Innovation
137,Telecentro,Especialista de Inteligencia de Mercado
138,RED BASA,Especialista en Marketing Digital
139,Avery Dennison,Analista de Créditos y Cobranzas Jr
140,Page Personnel,Accounts Payable Sr Analyst
141,La Anónima,Asistente de Acciones Comerciales
142,NASEBY TURNHAM LIMITED,Administrativo de Cobranzas / Full Time / Zona Caba
143,La Anónima,Asesor
144,Ball Corporation,Analista Sr. FP&A
145,Alsea Cono Sur,Subgerente de Bienes Raíces
146,Bumeran Selecta,Consultores de Ventas en Compliance
147,GEN Staffing & Recruiting,Analista Semi Senior de Administración y Finanza
148,VDH | VON DER HEIDE,AR00217 Líder de Innovación
149,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Asistente Comercial Junior para Empresa
150,SLC - Recursos Humanos,Analista Comercial Semisenior
151,IOL invertironline,Back Office Comercial - Part Time (Temporal)
152,CiclosRH Consulting,Controller Hindú
153,CiclosRH Consulting,Controller Hindú
154,Danone,Trade Marketing & Category Manager
155,Alejandra Molina,Ingeniero Comercial
156,Kavak.com,Reporting & Data Team Lead
157,Manpower Argentina,Estudiantes de Cs. Económicas con Inglés para el área de Finanzas
158,Direcciona,Accounting Analyst para Empresa líder de Oil&Gas
159,Manpower Argentina,Administrativos para Finanzas con Inglés
160,HuCap-Inteligencia en Capital Humano-,Gerente regional de Planificación Financiera
161,IOL invertironline,CX Analyst - Mercado de Capitales (Temporal)
162,Dafiti Group LATAM,Analista de Planning Senior
163,GD hr value,ANALISTAS RIESGO DE MERCADO para Banco Nacional en Expansión
164,High Flow,Gerente General
165,Lisicki Litvin & Asociados,Consultor Actuarial y Financiero
166,Cabify,Head of Growth Argentina
167,Michael Page,Gerente de Banca Privada
168,RED BASA,Técnico electrónico - Electromedicina
169,HUMAN CONSULTING,COMMERCIAL CONTRACTS COMPLIANCE ANALYST (Oil&Gas)
170,Scienza Argentina,Analista de Créditos y Cobranzas junior
171,HuCap-Inteligencia en Capital Humano-,Analista de Riesgo Crediticio
172,Despegar,Risk Management Specialist
173,NASEBY TURNHAM LIMITED,Administrativo/a (Retail/Gastronomía) - Zona CABA.
174,Michael Page,Gerente de Operaciones
175,Emergencias,Líder de Mejora Continua
176,BullMetrix,Customer Success Specialist
177,RED BASA,Arquitecta/o - CABA
178,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Analista Control de Gestión PARA CONSULTORA
179,Cervecería y Maltería Quilmes,Analista Order to Cash
180,Galpón De Ropa,Encargado de deposito - copia
181,Despegar,Marketing Performance Specialist
182,aeros,Ejecutivo/a de Ventas Empresas (Google Cloud - Account Manager Corporate)
183,aeros,Ejecutivo/a de Ventas Empresas (Google Cloud - Account Manager Public Sector)
184,PayRetailers,Head of sales ARG
185,Inspired Way,Analista de Auditoria interna
186,Gestion RH,Analista Sénior de Planeamiento y Control de Costos
187,Page Personnel,Accounting Supervisor
188,El Cronista,Especialista en programática
189,CHANDON,Ejecutivo de Ventas Off Trade
190,Pomelo,Product Senior Analyst
191,NASEBY TURNHAM LIMITED,Analista Contable / Full Time / Zona: Caba
192,Brandlive,Brand Admin Controller
193,Grupo Consultores de Empresas,Analista de Gestión de Producto
194,SCI comunidad,Operador de Tráfico AMBA / LD
195,Michael Page,Book Keeper
196,Camuzzi,Analista Sr. Grandes Clientes
197,ORT Argentina,Docentes de Economía y Contabilidad - Nivel Secundario
198,High Flow,Gerente Comercial
199,IOL invertironline,CX Analyst - Mercado de Capitales
200,BullMetrix,Ssr. Paid Media
201,Buenbit,Customer Experience Lead
202,RED BASA,Suscriptor Caución
203,RED BASA,Jefatura de Residencia de Clínica Médica del Centro Gallego de Buenos Aires
204,Deloitte,Consultor(a) Senior de Precios de Transferencia- Deloitte Buenos Aires
205,CHANDON,Ejecutivo de Ventas On Indirecto
206,Page Personnel,Analista de Presupuesto Ssr.
207,Despegar,Sr. Customer Intelligence Analyst
208,aeros,Ejecutivo/a de Ventas PyMES (Google Cloud - Account Manager SMB)
209,Banco Interamericano de Desarrollo,Apoyo técnico y operativo a la División de Energía en Cono Sur
210,Accenture Argentina,PMO - Project Manager Office – Manager / Senior
211,Grupo Cepas,Analista Sr. de Planeamiento de la Demanda
212,VP Consultores RH,Sales Manager -Asset Management
213,CAT Technologies Argentina,Account Manager - Empresa de Telecomunicaciones
